study_test,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testroutine.started,text_2.started,textbox.started,text_3.started,mouse.started,testroutine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.03947240021079779,,0.006498400121927261,0.03947240021079779,0.03947240021079779,5.034374799579382,1.788888888888889,5.013493400067091,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
mouse,,,,0,1,1,8,,,,,5.050428099930286,,5.034719900228083,5.050428099930286,5.050428099930286,6.545071600005031,1.4777777777777779,1.4893554002046585,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
cruise,,,,0,2,2,11,,,,,6.561065999791026,,6.545316600240767,6.561065999791026,6.561065999791026,8.245660199783742,4.218518518518518,1.6767645999789238,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
board,,,,0,3,3,4,,,,,8.261713800020516,,8.245907099917531,8.261713800020516,8.261713800020516,9.19885449949652,3.3962962962962964,0.9372442997992039,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
marble,,,,0,4,4,3,,,,,9.213352099992335,,9.1990938000381,9.213352099992335,9.213352099992335,10.046265999786556,2.6296296296296298,0.8305289996787906,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
pastry,,,,0,5,5,9,,,,,10.06216450035572,,10.046506999991834,10.06216450035572,10.06216450035572,10.863218899816275,3.4592592592592593,0.7935448996722698,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
laptop,,,,0,6,6,5,,,,,10.877849699929357,,10.863459999673069,10.877849699929357,10.877849699929357,11.630016099661589,2.588888888888889,0.7445376003161073,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
poster ,,,,0,7,7,14,,,,,11.64490699954331,,11.630273800343275,11.64490699954331,11.64490699954331,12.421470999717712,1.2518518518518518,0.7622847994789481,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
phone,,,,0,8,8,2,,,,,12.439252600073814,,12.42205770034343,12.439252600073814,12.439252600073814,13.197480799630284,1.8962962962962964,0.751010600477457,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
chart,,,,0,9,9,6,,,,,13.212034899741411,,13.197723199613392,13.212034899741411,13.212034899741411,13.964115199632943,3.2185185185185183,0.7486106995493174,,,,,,,,,,,,,,,WP4,001,2024-11-11_11h43.21.294,wordpriming,2024.1.5,None,2024-11-11 11h43.38.435727 +0530,
