study_test,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testroutine.started,text_2.started,textbox.started,text_3.started,mouse.started,testroutine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.04756900016218424,,0.008146599866449833,0.04756900016218424,0.04756900016218424,5.574695399962366,1.1333333333333333,5.550699099898338,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
laptop,,,,0,1,1,5,,,,,5.603327799588442,,5.586666999384761,5.603327799588442,5.603327799588442,6.9927690997719765,2.0185185185185186,1.3896087994799018,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
case ,,,,0,2,2,10,,,,,7.007457599975169,,6.993019099347293,7.007457599975169,7.007457599975169,8.705609899945557,1.0740740740740742,1.6926265005022287,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
phone,,,,0,3,3,2,,,,,8.723562699742615,,8.705847399309278,8.723562699742615,8.723562699742615,10.473092000000179,1.9296296296296296,1.7435446996241808,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
cushion ,,,,0,4,4,1,,,,,10.48859169986099,,10.473334100097418,10.48859169986099,10.48859169986099,11.942192899994552,3.0,1.4446527995169163,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
cruise,,,,0,5,5,11,,,,,11.959434200078249,,11.94271139986813,11.959434200078249,11.959434200078249,13.352251399308443,4.159259259259259,1.3833494996652007,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
book,,,,0,6,6,0,,,,,13.36692819930613,,13.352497099898756,13.36692819930613,13.36692819930613,14.535298999398947,2.1037037037037036,1.1506978003308177,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
police,,,,0,7,7,12,,,,,14.56102979928255,,14.536336500197649,14.56102979928255,14.56102979928255,15.794412699528039,4.811111111111111,1.2345303995534778,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
pastry,,,,0,8,8,9,,,,,15.810226699337363,,15.794652699492872,15.810226699337363,15.810226699337363,17.37629560008645,3.925925925925926,1.558011599816382,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
keys,,,,0,9,9,13,,,,,17.391283099539578,,17.376579199917614,17.391283099539578,17.391283099539578,19.56026989966631,3.285185185185185,2.162198499776423,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
chart,,,,0,10,10,6,,,,,19.57560640014708,,19.560501699335873,19.57560640014708,19.57560640014708,21.21050849929452,2.3740740740740742,1.6277533005923033,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
marble,,,,0,11,11,3,,,,,21.22514269966632,,21.21075399965048,21.22514269966632,21.22514269966632,23.011183000169694,1.6666666666666667,1.7787709003314376,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
board,,,,0,12,12,4,,,,,23.02678329963237,,23.011425899341702,23.02678329963237,23.02678329963237,24.095044599846005,1.711111111111111,1.0605504997074604,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
T-shirt,,,,0,13,13,7,,,,,24.112925100140274,,24.095285799354315,24.112925100140274,24.112925100140274,24.97920149937272,2.5592592592592593,0.8587004998698831,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
poster ,,,,0,14,14,14,,,,,24.993788399733603,,24.979440699331462,24.993788399733603,24.993788399733603,25.962326999753714,1,0.9619204001501203,,,,,,,,,,,,,,,WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,l_pt_p,laptop,old ,,,,,0,0,0,0,25.97936679981649,,,,,,,,25.968204599805176,25.97936679981649,25.97936679981649,25.97936679981649,0.009018899872899055,30.912451799958944,laptop,[-0.03148148148148148],[-0.29259259259259257],[1],[0],[0],[4.940605700016022],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,p_st_r,poster,old,,,,,0,1,1,9,30.927973499521613,,,,,,,,30.913307899609208,30.927973499521613,30.927973499521613,30.927973499521613,0.0019617993384599686,34.56354360003024,pastry,[-0.03148148148148148],[-0.29259259259259257],[1],[0],[0],[3.648037100210786],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,P_li_e,police,old,,,,,0,2,2,7,34.579598899930716,,,,,,,,34.564056599512696,34.579598899930716,34.579598899930716,34.579598899930716,0.003529299981892109,37.63134379964322,police,[-0.03148148148148148],[-0.29259259259259257],[1],[0],[0],[3.0634685000404716],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,_ru_i_se,cruise,old ,,,,,0,3,3,6,37.6479038996622,,,,,,,,37.631854799576104,37.6479038996622,37.6479038996622,37.6479038996622,0.0020447997376322746,39.98221560008824,cruise,[-0.03148148148148148],[-0.29259259259259257],[1],[0],[0],[2.3480944000184536],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,c_m__a,camera,new,,,,,0,4,4,17,39.99830189999193,,,,,,,,39.98272870015353,39.99830189999193,39.99830189999193,39.99830189999193,0.0019228998571634293,42.76728739961982,camera,[-0.030555555555555555],[-0.2962962962962963],[1],[0],[0],[2.782316799275577],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,m_r_le,marble,old,,,,,0,5,5,11,42.782770299352705,,,,,,,,42.767809299752116,42.782770299352705,42.782770299352705,42.782770299352705,0.001976999454200268,44.784788499586284,marble,[-0.03888888888888889],[-0.31574074074074077],[1],[0],[0],[2.014483300037682],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,p_st_y,pastry,old ,,,,,0,6,6,4,44.80041889939457,,,,,,,,44.78553459979594,44.80041889939457,44.80041889939457,44.80041889939457,0.0023194998502731323,47.08505740016699,pastry,[-0.03888888888888889],[-0.31574074074074077],[1],[0],[0],[2.297034500166774],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
