study_test,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testroutine.started,text_2.started,textbox.started,text_3.started,mouse.started,testroutine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,t_bl_,table,new,,,,,0,7,7,13,47.1012645997107,,,,,,,,47.08556899987161,47.1012645997107,47.1012645997107,47.1012645997107,0.0019230004400014877,49.085696400143206,table,[-0.03796296296296296],[-0.31574074074074077],[1],[0],[0],[1.9979085996747017],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,C_s_,case,old,,,,,0,8,8,5,49.101868599653244,,,,,,,,49.086212599650025,49.101868599653244,49.101868599653244,49.101868599653244,0.003486800007522106,51.386751799844205,case ,[-0.03796296296296296],[-0.31574074074074077],[1],[0],[0],[2.2968174004927278],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,T_hi_t,tshirt,old ,,,,,0,9,9,2,51.40284029953182,,,,,,,,51.38726339954883,51.40284029953182,51.40284029953182,51.40284029953182,0.0019784001633524895,53.33754319977015,tshirt,[-0.021296296296296296],[-0.3175925925925926],[1],[0],[0],[1.9479316994547844],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,m_us_,mouse,old,,,,,0,10,10,3,53.35360509995371,,,,,,,,53.33817099966109,53.35360509995371,53.35360509995371,53.35360509995371,0.0018977001309394836,55.17166659981012,mouse,[-0.01574074074074074],[-0.32037037037037036],[1],[0],[0],[1.8313114996999502],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,c_s_io_,cushion,old ,,,,,0,11,11,12,55.187383299693465,,,,,,,,55.17217819951475,55.187383299693465,55.187383299693465,55.187383299693465,0.001952500082552433,57.940214299596846,cushion,[-0.005555555555555556],[-0.32314814814814813],[1],[0],[0],[2.765467300079763],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,_ot_l_,bottle,new,,,,,0,12,12,16,57.95512149948627,,,,,,,,57.94143390003592,57.95512149948627,57.95512149948627,57.95512149948627,0.004009700380265713,60.87376379966736,bottle,[-0.005555555555555556],[-0.32314814814814813],[1],[0],[0],[2.9280719002708793],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,_ha_t,chart,old,,,,,0,13,13,1,60.88952589966357,,,,,,,,60.874278099276125,60.88952589966357,60.88952589966357,60.88952589966357,0.0021575000137090683,63.80829059984535,chart,[0.012962962962962963],[-0.32407407407407407],[1],[0],[0],[2.9315199004486203],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,_o__d,board,old ,,,,,0,14,14,10,63.824541999958456,,,,,,,,63.80879949964583,63.824541999958456,63.824541999958456,63.824541999958456,0.0019098995253443718,65.91132290009409,board,[0.03148148148148148],[-0.32592592592592595],[1],[0],[0],[2.0994031000882387],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,v_s_,vase,new,,,,,0,15,15,15,65.92852090019733,,,,,,,,65.9135556994006,65.92852090019733,65.92852090019733,65.92852090019733,0.009037099778652191,68.10988559946418,vase,[0.03148148148148148],[-0.32592592592592595],[1],[0],[0],[2.187384099699557],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,K_y_,keys,old ,,,,,0,16,16,8,68.12556539941579,,,,,,,,68.11039329972118,68.12556539941579,68.12556539941579,68.12556539941579,0.004243799485266209,69.72717020008713,keys,[0.032407407407407406],[-0.32592592592592595],[1],[0],[0],[1.6121150003746152],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
,p_nc_l,pencil ,new,,,,,0,17,17,14,69.74297759961337,,,,,,,,69.72766769956797,69.74297759961337,69.74297759961337,69.74297759961337,0.002342900261282921,72.12782299984246,pencil,[0.041666666666666664],[-0.3277777777777778],[1],[0],[0],[2.3974719997495413],['text_3'],WP1,001,2024-11-11_11h34.55.944,wordpriming,2024.1.5,None,2024-11-11 11h35.14.808971 +0530,
