study_test,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testroutine.started,text_2.started,textbox.started,text_3.started,mouse.started,testroutine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster ,,,,0,0,0,14,,,,,0.039443500339984894,,0.006468799896538258,0.039443500339984894,0.039443500339984894,5.271044299937785,2.185185185185185,5.2404891001060605,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
cruise,,,,0,1,1,11,,,,,5.286659800447524,,5.271600699983537,5.286659800447524,5.286659800447524,6.916206100024283,3.974074074074074,1.622074999846518,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
chart,,,,0,2,2,6,,,,,6.933588700369,,6.916540100239217,6.933588700369,6.933588700369,8.405441000126302,3.022222222222222,1.4644542997702956,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
mouse,,,,0,3,3,8,,,,,8.420534799806774,,8.405688700266182,8.420534799806774,8.420534799806774,10.006386999972165,1.0222222222222221,1.5786317000165582,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
police,,,,0,4,4,12,,,,,10.022039700299501,,10.006720299832523,10.022039700299501,10.022039700299501,11.323647200129926,1.2074074074074075,1.295219199731946,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
board,,,,0,5,5,4,,,,,11.351423099637032,,11.32389559969306,11.351423099637032,11.351423099637032,12.42347769998014,1.6592592592592592,1.0716848000884056,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
T-shirt,,,,0,6,6,7,,,,,12.439398700371385,,12.423722400330007,12.439398700371385,12.439398700371385,14.858083399944007,2.503703703703704,2.4109890004619956,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
marble,,,,0,7,7,3,,,,,14.873251300305128,,14.858350199647248,14.873251300305128,14.873251300305128,16.424942100420594,1.8185185185185184,1.5480108000338078,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
pastry,,,,0,8,8,9,,,,,16.440795100294054,,16.42518309969455,16.440795100294054,16.440795100294054,18.592750599607825,3.311111111111111,2.1449688002467155,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
keys,,,,0,9,9,13,,,,,18.60745710041374,,18.592994400300086,18.60745710041374,18.60745710041374,20.084930299781263,2.8444444444444446,1.4774264004081488,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
book,,,,0,10,10,0,,,,,20.09946020040661,,20.0851736003533,20.09946020040661,20.09946020040661,21.56051729992032,2.2407407407407405,1.4568244004622102,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
case ,,,,0,11,11,10,,,,,21.575418599881232,,21.56075910013169,21.575418599881232,21.575418599881232,23.044048000127077,1.3666666666666667,1.4612406995147467,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
laptop,,,,0,12,12,5,,,,,23.058901499956846,,23.04429790005088,23.058901499956846,23.058901499956846,25.161784299649298,1,2.0954577000811696,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
phone,,,,0,13,13,2,,,,,25.177382700145245,,25.162033200263977,25.177382700145245,25.177382700145245,26.533406499773264,1.0333333333333334,1.3451330997049809,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
cushion ,,,,0,14,14,1,,,,,26.54816220048815,,26.533653300255537,26.54816220048815,26.54816220048815,27.94626280013472,3.6814814814814816,1.3953106999397278,,,,,,,,,,,,,,,WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,_ru_i_se,cruise,old ,,,,,0,0,0,6,27.961615599691868,,,,,,,,27.95193469990045,27.961615599691868,27.961615599691868,27.961615599691868,0.008163399994373322,37.947126200422645,cruise,[],[],[],[],[],[],[],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,T_hi_t,tshirt,old ,,,,,0,1,1,2,37.96403060015291,,,,,,,,37.94797430001199,37.96403060015291,37.96403060015291,37.96403060015291,0.0034536002203822136,38.648304499685764,,[-0.08055555555555556],[-0.2861111111111111],[1],[0],[0],[0.6980588007718325],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,_ha_t,chart,old,,,,,0,2,2,1,38.664173600263894,,,,,,,,38.648861000314355,38.664173600263894,38.664173600263894,38.664173600263894,0.0019175997003912926,41.06643079966307,chart,[-0.06759259259259259],[-0.287962962962963],[1],[0],[0],[2.4151138002052903],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,p_nc_l,pencil ,new,,,,,0,3,3,14,41.08152670040727,,,,,,,,41.0669478001073,41.08152670040727,41.08152670040727,41.08152670040727,0.001869400031864643,43.46661869995296,pencil,[-0.06759259259259259],[-0.287962962962963],[1],[0],[0],[2.397543200291693],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,m_us_,mouse,old,,,,,0,4,4,3,43.48267269972712,,,,,,,,43.46712759975344,43.48267269972712,43.48267269972712,43.48267269972712,0.0018886001780629158,45.30101709999144,mouse,[-0.06759259259259259],[-0.287962962962963],[1],[0],[0],[1.8317726999521255],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,c_m__a,camera,new,,,,,0,5,5,17,45.31665460020304,,,,,,,,45.301524200476706,45.31665460020304,45.31665460020304,45.31665460020304,0.002049500122666359,47.61820880044252,camera,[-0.05740740740740741],[-0.287962962962963],[1],[0],[0],[2.314369799569249],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,p_st_y,pastry,old ,,,,,0,6,6,4,47.63402310013771,,,,,,,,47.618721400387585,47.63402310013771,47.63402310013771,47.63402310013771,0.0018596993759274483,51.202702100388706,pastry,[-0.03611111111111111],[-0.28703703703703703],[1],[0],[0],[3.58188149984926],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,_ot_l_,bottle,new,,,,,0,7,7,16,51.21904870029539,,,,,,,,51.203221700154245,51.21904870029539,51.21904870029539,51.21904870029539,0.001928100362420082,54.8380372999236,bottle,[-0.019444444444444445],[-0.2861111111111111],[1],[0],[0],[3.632528300397098],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
,p_st_r,poster,old,,,,,0,8,8,9,54.85374480020255,,,,,,,,54.83854340016842,54.85374480020255,54.85374480020255,54.85374480020255,0.0024824999272823334,57.55542420037091,pastry,[-0.025],[-0.28703703703703703],[1],[0],[0],[2.7140945000573993],['text_3'],WP2,001,2024-11-11_11h38.13.697,wordpriming,2024.1.5,None,2024-11-11 11h38.26.446996 +0530,
