key_resp.corr,key_resp.rt,,,,
1,0.3756089,,0.3756089,0.4434108,-0.0678019
1,0.5653783,,0.5653783,0.4828166,0.0825617
1,0.5040314,,0.5040314,0.3936315,0.1103999
1,0.434558,,0.434558,0.5269691,-0.092411099
1,0.457171,,0.457171,0.6738324,-0.2166614
1,1.0558713,,1.0558713,0.9380511,0.1178202
1,0.4167251,,0.4167251,0.5375091,-0.120784
1,0.4330804,,0.4330804,0.4332492,-0.0001688
1,0.7102967,,0.7102967,0.436599,0.2736977
1,0.6121981,,0.6121981,0.6472057,-0.0350076
1,0.3671474,,0.3671474,0.4525172,-0.0853698
1,0.8506085,,0.8506085,0.4652456,0.3853629
1,0.4623356,,0.4623356,0.4835039,-0.0211683
1,0.4761141,,0.4761141,0.447472,0.0286421
1,0.4852076,,0.4852076,0.5350747,-0.0498671
1,0.364327,,0.364327,1.0161717,-0.6518447
1,0.5829671,,0.5829671,0.3733604,0.2096067
1,0.4581908,,0.4581908,0.3743324,0.0838584
1,0.5447598,,0.5447598,0.4412577,0.103502099
1,0.3880022,,0.3880022,0.3915309,-0.0035287
1,0.6521954,,0.6521954,0.7006641,-0.0484687
1,0.5777225,,0.5777225,0.3390792,0.2386433
1,0.5105739,,0.5105739,0.4613964,0.0491775
1,0.5304341,,0.5304341,0.5542397,-0.0238056
1,0.4519006,,0.4519006,0.4318889,0.0200117
1,0.5050261,,0.5050261,0.5380633,-0.0330372
1,0.3775622,,0.3775622,0.3939469,-0.0163847
1,0.4133591,,0.4133591,0.5675284,-0.1541693
1,0.5174639,,0.5174639,0.5520159,-0.034552
1,0.4055581,,0.4055581,0.4449369,-0.0393788
1,0.4484233,,0.4484233,0.3852969,0.0631264
1,0.6206539,,0.6206539,0.3693291,0.2513248
1,0.433549,,0.433549,0.3487153,0.0848337
1,0.378809,,0.378809,0.595449,-0.216639999
1,0.5029845,,0.5029845,0.3465069,0.156477599
1,0.5027578,,0.5027578,0.3969017,0.105856101
1,0.5425871,,0.5425871,0.3824401,0.160147
1,0.6124421,,0.6124421,0.4333708,0.1790713
1,0.3949862,,0.3949862,0.8339542,-0.438968
1,0.4247753,,0.4247753,0.4682696,-0.0434943
0,0.12941,,0.12941,0.3204839,-0.191073901
1,0.4528446,,0.4528446,0.8906214,-0.4377768
1,0.4808581,,0.4808581,0.6085214,-0.1276633
1,0.4570076,,0.4570076,0.735241,-0.2782334
1,0.4595341,,0.4595341,0.8901546,-0.4306205
1,0.4354036,,0.4354036,0.561877,-0.1264734
1,0.4948596,,0.4948596,0.4840488,0.0108108
1,0.4106463,,0.4106463,0.6569559,-0.2463096
1,1.5146293,,1.5146293,0.3966395,1.1179898
1,0.4359527,,0.4359527,0.4103828,0.0255699
1,0.4191016,,0.4191016,0.4577079,-0.0386063
1,0.4350599,,0.4350599,0.5716099,-0.136549999
1,0.5776209,,0.5776209,0.5548752,0.0227457
0,0.9949303,,0.9949303,0.7758281,0.2191022
1,0.5442194,,0.5442194,0.4618134,0.082406
1,0.4114054,,0.4114054,0.3792403,0.0321651
1,0.423505,,0.423505,0.3513298,0.0721752
1,0.4911116,,0.4911116,0.4429205,0.0481911
1,0.5410548,,0.5410548,0.4300852,0.1109696
1,0.5631129,,0.5631129,0.4044722,0.1586407
1,0.3946574,,0.3946574,0.4493047,-0.0546473
1,0.8467638,,0.8467638,0.4152189,0.4315449
1,0.5798398,,0.5798398,0.3605794,0.2192604
1,0.8946226,,0.8946226,0.4641484,0.4304742
1,0.9665595,,0.9665595,0.5332431,0.4333164
1,0.8895892,,0.8895892,0.3951898,0.494399399
1,4.8927252,,4.8927252,0.4109801,4.4817451
1,2.7699551,,2.7699551,0.4041686,2.365786499
1,0.5239701,,0.5239701,0.4414088,0.0825613
1,0.5606738,,0.5606738,0.4066728,0.154001
