trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,word,color,stim_condition,correct_res,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.016336600005161017,0.02596790000097826,1.0030798000225332,,,,,,,902216,001,2024-08-16_11h45.06.275,strooptask,2024.1.5,None,2024-08-16 11h45.15.636238 +0530,
,,,,,,,,1.0435431000078097,,,,,1.0261407000070903,1.0435431000078097,1.5436459000047762,1.5436459000047762,1.5436459000047762,6.579137000022456,,,,,,,,
