word,color,stim_cond,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002802700037136674,0.006902499822899699,1.0333322999067605,0.9938295998144895,,,,,,,,,,,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
BLUE,blue,C,b,0,0,0,3,1.0333322999067605,,,,,,1.0174693998415023,1.0333322999067605,1.5093441000208259,1.5093441000208259,1.5093441000208259,3.7608946999534965,b,1,2.2324441999662668,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
RED,red,C,r,0,1,1,0,3.7850456000305712,,,,,,3.764014499960467,3.7850456000305712,4.277161099947989,4.277161099947989,4.277161099947989,5.229801699984819,r,1,0.948118100175634,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
RED,blue,I,b,0,2,2,1,5.244061199948192,,,,,,5.231511799851432,5.244061199948192,5.744334899820387,5.744334899820387,5.744334899820387,6.713514499831945,r,0,0.9649082999676466,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
YELLOW,yellow,C,y,0,3,3,2,6.742551399860531,,,,,,6.7152418999467045,6.742551399860531,7.228256499860436,7.228256499860436,7.228256499860436,8.114054400008172,y,1,0.8793611000292003,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
BLUE,blue,C,b,1,0,4,3,8.12865039985627,,,,,,8.11568779987283,8.12865039985627,8.628766400041059,8.628766400041059,8.628766400041059,12.415620399871841,b,1,3.776898599928245,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
RED,red,C,r,1,1,5,0,12.430542199872434,,,,,,12.41735739982687,12.430542199872434,12.930509199853987,12.930509199853987,12.930509199853987,13.766381799941882,r,1,0.8293568000663072,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
YELLOW,yellow,C,y,1,2,6,2,13.782541299937293,,,,,,13.768183399923146,13.782541299937293,14.280950000043958,14.280950000043958,14.280950000043958,15.033253300003707,y,1,0.737458199961111,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
RED,blue,I,b,1,3,7,1,15.050859599839896,,,,,,15.034978799987584,15.050859599839896,15.548086700029671,15.548086700029671,15.548086700029671,17.101330199977383,b,1,1.5503517999313772,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
RED,red,C,r,2,0,8,0,17.11539249983616,,,,,,17.103078699903563,17.11539249983616,17.615554000018165,17.615554000018165,17.615554000018165,18.518004099838436,r,1,0.8882344998419285,None,995019,001,2024-09-10_15h24.18.105,strooptask,2024.1.5,None,2024-09-10 15h24.29.715846 +0530,
,,,,,,,,18.53276599990204,,,,,,18.51978629990481,18.53276599990204,19.03282959992066,19.03282959992066,19.03282959992066,,,,,,,,,,,,,
