trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.018110800068825483,,0.003723300062119961,0.018110800068825483,0.5276933000423014,0.5276933000423014,0.5353425999637693,0.8364663999527693,1.7752286000177264,left,-10.0,1,1,1.236714999889955,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
1,1,8.0,1.7867988999933004,,1.7753894999623299,1.7867988999933004,2.286890299990773,2.286890299990773,2.286890299990773,2.587089499924332,2.6228481999132782,left,-8.0,0,0,0.33214489999227226,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
2,1,9.0,2.6371041999664158,,2.6230510000605136,2.6371041999664158,3.1374629999045283,3.1374629999045283,3.1374629999045283,3.4375338999088854,3.5897470000199974,left,-9.0,0,0,0.4424723000265658,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
3,1,10.0,3.6042645999696106,,3.5899604000151157,3.6042645999696106,4.104397400049493,4.104397400049493,4.104397400049493,4.40456230007112,4.506933599943295,right,10.0,0,0,0.39316300000064075,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
4,1,11.0,4.521267100004479,,4.507158099906519,4.521267100004479,5.021431299857795,5.021431299857795,5.021431299857795,5.321567100007087,5.490585600025952,left,-11.0,1,1,0.4555273000150919,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
5,1,11.0,5.504974700044841,,5.490809299983084,5.504974700044841,6.005148799857125,6.005148799857125,6.005148799857125,6.305189099861309,6.474556799978018,right,11.0,0,0,0.46574019989930093,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
6,1,12.0,6.488585700048134,,6.474791399901733,6.488585700048134,6.9881237000226974,6.9881237000226974,6.9881237000226974,7.288382499944419,7.323388499906287,right,12.0,1,1,0.3259078999981284,627496,001,2024-09-11_12h15.14.719,adaptivesc,2024.1.5,None,2024-09-11 12h15.19.048884 +0530,
,,,7.338323100004345,,7.323528500040993,7.338323100004345,7.838993399869651,7.838993399869651,7.838993399869651,8.139059799956158,,,,,,,,,,,,,,
