trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.02678600000217557,,0.009176699910312891,0.02678600000217557,0.5454635000787675,0.5454635000787675,0.5602259000297636,0.8610880000051111,5.868774600094184,right,10.0,1,1,5.304167399881408,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
1,1,8.0,5.879735300084576,,5.86890839994885,5.879735300084576,6.3799447999335825,6.3799447999335825,6.3799447999335825,6.679976799990982,7.248032599920407,right,8.0,0,0,0.8582209998276085,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
2,1,9.0,7.26341630006209,,7.248148600105196,7.26341630006209,7.76375799998641,7.76375799998641,7.76375799998641,8.063621999928728,8.181674000108615,right,9.0,0,0,0.41588860005140305,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
3,1,10.0,8.197088500019163,,8.181786200031638,8.197088500019163,8.697298699989915,8.697298699989915,8.697298699989915,,8.781909900018945,right,10.0,1,1,0.06792429997585714,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
4,1,10.0,8.79718380002305,,8.782018200028688,8.79718380002305,9.297394199995324,9.297394199995324,9.297394199995324,,9.415568500058725,right,10.0,1,1,0.11462779995054007,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
5,1,10.0,9.43080720002763,,9.415670100133866,9.43080720002763,9.931299000047147,9.931299000047147,9.931299000047147,,10.165756599977612,right,10.0,1,1,0.21750749996863306,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
6,1,9.0,10.181303400080651,,10.165879599982873,10.181303400080651,10.681228100089356,10.681228100089356,10.681228100089356,10.981385600054637,11.065929000033066,right,9.0,1,1,0.3792125000618398,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
7,1,9.0,11.081274900119752,,11.06602740008384,11.081274900119752,11.565146800130606,11.565146800130606,11.581793300108984,,11.583144099917263,right,9.0,1,1,0.007782800123095512,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
8,1,9.0,11.59850429999642,,11.58326270012185,11.59850429999642,12.098756100051105,12.098756100051105,12.098756100051105,,12.166785300010815,right,9.0,1,1,0.06463699997402728,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
9,1,8.0,12.1820630999282,,12.166906000114977,12.1820630999282,12.682254699990153,12.682254699990153,12.682254699990153,,12.950312900124118,right,8.0,1,1,0.25181259983219206,596426,001,2024-09-11_12h09.22.076,adaptivesc,2024.1.5,None,2024-09-11 12h09.26.143356 +0530,
